guess,exp_remaining,entropy,worst_case,partitions
tress,734.5431699044095,5.047431705073801,1841,128
bends,734.886679000925,5.075904808040308,1800,151
troke,734.8971631205674,5.088803617248158,1992,149
email,734.9323157570151,4.992718649393116,1793,146
stalk,734.9901325932778,5.0206296455973485,1876,147
inert,735.0049337033611,5.0329956468726555,1929,157
fatso,735.077089115017,4.911284720826572,1507,138
linds,735.1127042861548,5.141678654112143,1934,152
kytes,735.127351218008,4.98745819672057,1692,148
leets,735.2187789084181,5.140111820567527,1889,154
slank,735.2209374036386,5.064082779571153,1861,156
nicer,735.4218316373727,5.061583822933181,2082,153
laxer,735.4341658957755,4.846862665888605,1909,127
warms,735.4551341350601,5.06375461594971,1947,151
wants,735.4719395621338,5.141600042795699,2015,160
enarm,735.5437866173296,4.950093626067211,1643,140
urson,735.5641381436941,4.97678522543195,1753,131
rache,735.6003700277521,5.064434850871526,1828,146
lamps,735.763490595128,5.119130842103922,2049,150
farms,735.8194572926303,5.0518599710842,1941,144
opter,735.8510638297872,5.011810595860877,1953,151
resus,735.8555349984582,4.953489830791459,1845,131
vleis,735.8778908418132,5.001471391899062,1624,160
crame,735.9198273203824,5.135397816354305,1787,161
drops,736.0257477644157,5.121393301242429,1916,156
stoic,736.0568917668825,4.98817840648881,1941,136
smaze,736.3472093740364,4.813306549995218,1358,122
dolia,736.4258402713536,5.12748464825581,1889,166
scrab,736.440795559667,4.944275221606444,1731,132
styme,736.5707678075855,4.885226459114019,1542,142
eland,736.6395312981807,5.058977242169083,1707,157
romal,736.677150786309,5.049470830716972,1863,158
alums,736.8371877890842,5.0998314314220945,1872,159
hotel,736.8976256552575,5.073611513834626,2005,155
sowce,736.9827320382362,4.988374511833846,1636,140
saves,737.1621954979956,4.864597795828737,1649,123
etats,737.1649707061363,4.89637595206963,1619,135
ferms,737.2399013259328,5.0349529324673155,1842,146
sonne,737.3775824853531,4.974511440946591,1562,137
inure,737.3888374961456,4.966058534668926,1766,144
